checkpoint,step,mean_auc,Atelectasis,Cardiomegaly,Consolidation,Edema,Pleural Effusion
checkpoints/pt-imp-v2/checkpoint_10600.pt,10600,0.8495633002132882,0.7928533333333334,0.8354816824966078,0.8647693452380952,0.8887884267631102,0.8659237132352942
checkpoints/pt-imp-v2/checkpoint_24400.pt,24400,0.849379547417562,0.7965333333333334,0.8341248303934872,0.8893229166666667,0.8443339361060881,0.8825827205882354
checkpoints/pt-imp-v2/checkpoint_16800.pt,16800,0.8487177053647293,0.7774933333333333,0.840343735866124,0.8714657738095238,0.882157926461724,0.8721277573529412
checkpoints/pt-imp-v2/checkpoint_18400.pt,18400,0.8480756574102573,0.7721600000000001,0.8466757123473542,0.8826264880952381,0.8759795057263411,0.8629365808823529
checkpoints/pt-imp-v2/checkpoint_18200.pt,18200,0.8480119918097007,0.7607466666666667,0.847467209407508,0.8898809523809523,0.8583484026522001,0.8836167279411765
checkpoints/pt-imp-v2/checkpoint_22000.pt,22000,0.8477740301778957,0.8143999999999999,0.844640434192673,0.8541666666666666,0.8506630500301386,0.875
checkpoints/pt-imp-v2/checkpoint_30600.pt,30600,0.8477393326557852,0.7864533333333334,0.8429443690637721,0.8844866071428572,0.8557866184448463,0.8690257352941176
checkpoints/pt-imp-v2/checkpoint_22800.pt,22800,0.8477164443544263,0.80384,0.8394391677973767,0.8699776785714286,0.8618143459915613,0.8635110294117647
checkpoints/pt-imp-v2/checkpoint_27400.pt,27400,0.8476604931790312,0.7946666666666667,0.8352555404794211,0.8781622023809523,0.8577456298975286,0.8724724264705882
checkpoints/pt-imp-v2/checkpoint_32200.pt,32200,0.8476394909998074,0.7994666666666668,0.8499547715965626,0.8575148809523809,0.854882459312839,0.8763786764705882
checkpoints/pt-imp-v2/checkpoint_26200.pt,26200,0.8474421460574879,0.7675733333333334,0.8432835820895522,0.8859747023809524,0.8569921639541893,0.8833869485294118
checkpoints/pt-imp-v2/checkpoint_40600.pt,40600,0.8473923484257512,0.7954133333333333,0.8403437358661239,0.8563988095238095,0.8625678119349006,0.8822380514705882
checkpoints/pt-imp-v2/checkpoint_29600.pt,29600,0.8472371107073362,0.7842133333333333,0.8506331976481231,0.8630952380952381,0.8610608800482219,0.8771829044117646
checkpoints/pt-imp-v2/checkpoint_23400.pt,23400,0.8470813752783535,0.7853866666666666,0.8449796472184532,0.8807663690476191,0.8443339361060881,0.8799402573529411
checkpoints/pt-imp-v2/checkpoint_27600.pt,27600,0.8470727740315883,0.7672533333333333,0.8410221619176843,0.8850446428571428,0.8698010849909583,0.8722426470588236
