=== v3 (impression+findings) started Tue Sep 15 02:15:15 PM KST 2026 ===
[1/6] regenerating text...
TEXT_DONE
[2/6] gates...
      rows v3=377,110  h5=377,110  aligned=True
      NO IMPRESSION: v2 4.4%  v3 4.4%
      median words: v2 16 -> v3 48   longer: 59.7%
[3/6] training 8 epochs Tue Sep 15 02:16:47 PM KST 2026
      train exit=0  checkpoints=236
[4/6] checkpoint selection Tue Sep 15 03:55:42 PM KST 2026
Device: cuda:0
Ground truth: 200 images x 5 labels
Positives per label: Atelectasis=75, Cardiomegaly=66, Consolidation=32, Edema=42, Pleural Effusion=64
Found 236 checkpoints
[213/236] step   42400  mean AUC 0.8345
[214/236] step   42600  mean AUC 0.8216
[215/236] step   42800  mean AUC 0.8374
[216/236] step   43000  mean AUC 0.8306
[217/236] step   43200  mean AUC 0.8424
[218/236] step   43400  mean AUC 0.8463
[219/236] step   43600  mean AUC 0.8404
[220/236] step   43800  mean AUC 0.8328
[221/236] step   44000  mean AUC 0.8211
[222/236] step   44200  mean AUC 0.8309
[223/236] step   44400  mean AUC 0.8460
[224/236] step   44600  mean AUC 0.8334
[225/236] step   44800  mean AUC 0.8387
[226/236] step   45000  mean AUC 0.8314
[227/236] step   45200  mean AUC 0.8325
[228/236] step   45400  mean AUC 0.8427
[229/236] step   45600  mean AUC 0.8463
[230/236] step   45800  mean AUC 0.8445
[231/236] step   46000  mean AUC 0.8269
[232/236] step   46200  mean AUC 0.8399
[233/236] step   46400  mean AUC 0.8185
[234/236] step   46600  mean AUC 0.8376
[235/236] step   46800  mean AUC 0.8332
[236/236] step   47000  mean AUC 0.8445

Wrote ranking to data/checkpoint_ranking_v3.csv
(ensemble members spaced >= 1000 steps apart)

Top 10 checkpoints (the ensemble):
 step  mean_auc  Atelectasis  Cardiomegaly  Consolidation    Edema  Pleural Effusion
   -1  0.852870     0.755733      0.847467       0.884487 0.867541          0.909122
32200  0.851725     0.728747      0.880032       0.866443 0.883816          0.899586
28200  0.847052     0.758293      0.864541       0.848958 0.873418          0.890051
45600  0.846339     0.735147      0.846450       0.873326 0.874774          0.901999
43400  0.846251     0.757120      0.847467       0.865327 0.856239          0.905101
44400  0.845965     0.752320      0.836273       0.856957 0.888939          0.895335
47000  0.844478     0.718080      0.835369       0.891369 0.882007          0.895565
33800  0.843589     0.718720      0.849163       0.884115 0.869349          0.896599
41800  0.842353     0.734293      0.865445       0.851749 0.876432          0.883847
21000  0.842343     0.736427      0.860810       0.858631 0.864075          0.891774

Ensemble member mean AUC: 0.8463 (best single 0.8529)
[5/6] prompt template search Tue Sep 15 04:10:14 PM KST 2026
Device: cuda:0
prompt-dev 20,000 images -> select on A=10,000, confirm on B=10,000

Encoding images (10 checkpoints, once each)...
  [1/10] checkpoint.pt -> (20000, 512)
  [2/10] checkpoint_32200.pt -> (20000, 512)
  [3/10] checkpoint_28200.pt -> (20000, 512)
  [4/10] checkpoint_45600.pt -> (20000, 512)
  [5/10] checkpoint_43400.pt -> (20000, 512)
  [6/10] checkpoint_44400.pt -> (20000, 512)
  [7/10] checkpoint_47000.pt -> (20000, 512)
  [8/10] checkpoint_33800.pt -> (20000, 512)
  [9/10] checkpoint_41800.pt -> (20000, 512)
  [10/10] checkpoint_21000.pt -> (20000, 512)

Encoding 709 prompt strings x 10 checkpoints...
  [1/10] text done
  [2/10] text done
  [3/10] text done
  [4/10] text done
  [5/10] text done
  [6/10] text done
  [7/10] text done
  [8/10] text done
  [9/10] text done
  [10/10] text done

Scoring...
  Atelectasis          done (25 combos)
  Cardiomegaly         done (25 combos)
  Effusion             done (25 combos)
  Infiltration         done (25 combos)
  Mass                 done (25 combos)
  Nodule               done (25 combos)
  Pneumonia            done (25 combos)
  Pneumothorax         done (25 combos)
  Consolidation        done (25 combos)
  Edema                done (25 combos)
  Emphysema            done (30 combos)
  Fibrosis             done (30 combos)
  Pleural_Thickening   done (25 combos)
  Hernia               done (25 combos)

Wrote data/prompt_template_search_v3.csv  (360 combinations)

========================================================================================================
label                baseline  tuned(A)  CONFIRM(B)  d_vs_base  winning positive prompt
--------------------------------------------------------------------------------------------------------
Atelectasis            0.7790    0.7774      0.7790    +0.0000  'Atelectasis'
Cardiomegaly           0.8349    0.8413      0.8349    +0.0000  'Cardiomegaly'
Effusion               0.8485    0.8505      0.8532    +0.0048  'there is pleural effusion'
Infiltration           0.6627    0.6453      0.6617    -0.0010  'findings consistent with airspace opacity'
Mass                   0.7120    0.7628      0.7668    +0.0548  'a chest x-ray with lung mass'
Nodule                 0.5853    0.6378      0.6561    +0.0708  'there is pulmonary nodule'
Pneumonia              0.6995    0.6999      0.6987    -0.0009  'there is pneumonia'
Pneumothorax           0.5820    0.7068      0.7158    +0.1338  'findings consistent with air in the pleural space'
Consolidation          0.7724    0.7897      0.7745    +0.0021  'dense opacity'
Edema                  0.8337    0.8458      0.8494    +0.0157  'findings consistent with fluid overload'
Emphysema              0.6633    0.7335      0.7448    +0.0815  'there is emphysematous changes'
Fibrosis               0.6073    0.5950      0.5909    -0.0164  'there is a chest x-ray with pulmonary fibrosis'
Pleural_Thickening     0.6738    0.7007      0.7109    +0.0371  'a chest x-ray with Pleural_Thickening'
Hernia                 0.6942    0.8600      0.8556    +0.1613  'hiatal hernia'
--------------------------------------------------------------------------------------------------------
MEAN                   0.7106    0.7462      0.7494    +0.0388
========================================================================================================
Quote the CONFIRM column: auc_select is the split the winner was chosen on and is optimistically biased.

Template pairs chosen:
template_pos                 template_neg            
there is {}                  there is no {}              5
{}                           no {}                       4
findings consistent with {}  no evidence of {}           3
a chest x-ray with {}        a chest x-ray with no {}    2
[6/6] evaluation Tue Sep 15 04:14:18 PM KST 2026
Device: cuda:0
Per-label template pairs from data/prompt_template_search_v3.csv
  Atelectasis         'Atelectasis'  vs  'no Atelectasis'
  Cardiomegaly        'Cardiomegaly'  vs  'no Cardiomegaly'
  Effusion            'there is pleural effusion'  vs  'there is no pleural effusion'
  Infiltration        'findings consistent with airspace opacity'  vs  'no evidence of airspace opacity'
  Mass                'a chest x-ray with lung mass'  vs  'a chest x-ray with no lung mass'
  Nodule              'there is pulmonary nodule'  vs  'there is no pulmonary nodule'
  Pneumonia           'there is pneumonia'  vs  'there is no pneumonia'
  Pneumothorax        'findings consistent with air in the pleural space'  vs  'no evidence of air in the pleural space'
  Consolidation       'dense opacity'  vs  'no dense opacity'
  Edema               'findings consistent with fluid overload'  vs  'no evidence of fluid overload'
  Emphysema           'there is emphysematous changes'  vs  'there is no emphysematous changes'
  Fibrosis            'there is a chest x-ray with pulmonary fibrosis'  vs  'there is no a chest x-ray with pulmonary fibrosis'
  Pleural_Thickening  'a chest x-ray with Pleural_Thickening'  vs  'a chest x-ray with no Pleural_Thickening'
  Hernia              'hiatal hernia'  vs  'no hiatal hernia'
Prompt mapping: 'Effusion'->'there is pleural effusion', 'Infiltration'->'findings consistent with airspace opacity', 'Mass'->'a chest x-ray with lung mass', 'Nodule'->'there is pulmonary nodule', 'Pneumonia'->'there is pneumonia', 'Pneumothorax'->'findings consistent with air in the pleural space', 'Consolidation'->'dense opacity', 'Edema'->'findings consistent with fluid overload', 'Emphysema'->'there is emphysematous changes', 'Fibrosis'->'there is a chest x-ray with pulmonary fibrosis', 'Pleural_Thickening'->'a chest x-ray with Pleural_Thickening', 'Hernia'->'hiatal hernia'
Ground truth: 25596 images x 14 labels
Ensembling 10 checkpoints from data/checkpoint_ranking_v3.csv
  [1/10] checkpoint.pt  mean AUC 0.6964
  [2/10] checkpoint_32200.pt  mean AUC 0.7012
  [3/10] checkpoint_28200.pt  mean AUC 0.7013
  [4/10] checkpoint_45600.pt  mean AUC 0.6968
  [5/10] checkpoint_43400.pt  mean AUC 0.7001
  [6/10] checkpoint_44400.pt  mean AUC 0.6937
  [7/10] checkpoint_47000.pt  mean AUC 0.6967
  [8/10] checkpoint_33800.pt  mean AUC 0.6822
  [9/10] checkpoint_41800.pt  mean AUC 0.6963
  [10/10] checkpoint_21000.pt  mean AUC 0.6848
Bootstrapping (1000 replicates) ...

Wrote data/nih_results_v3.csv

             label                                            prompt  n_positive    auc  ci_lower  ci_upper
       Atelectasis                                       Atelectasis        3279 0.7181    0.7090    0.7273
      Cardiomegaly                                      Cardiomegaly        1069 0.8430    0.8316    0.8548
          Effusion                         there is pleural effusion        4658 0.7820    0.7754    0.7885
      Infiltration         findings consistent with airspace opacity        6112 0.6898    0.6834    0.6973
              Mass                      a chest x-ray with lung mass        1748 0.7036    0.6910    0.7165
            Nodule                         there is pulmonary nodule        1623 0.6153    0.6020    0.6312
         Pneumonia                                there is pneumonia         555 0.6794    0.6570    0.6999
      Pneumothorax findings consistent with air in the pleural space        2665 0.6135    0.6041    0.6229
     Consolidation                                     dense opacity        1815 0.7120    0.7012    0.7231
             Edema           findings consistent with fluid overload         925 0.7852    0.7728    0.7976
         Emphysema                    there is emphysematous changes        1093 0.6081    0.5924    0.6234
          Fibrosis    there is a chest x-ray with pulmonary fibrosis         435 0.5355    0.5075    0.5625
Pleural_Thickening             a chest x-ray with Pleural_Thickening        1143 0.6831    0.6656    0.6990
            Hernia                                     hiatal hernia          86 0.8749    0.8400    0.9088

Ensemble mean AUC over 14 pathologies: 0.7031
Device: cuda:0
Evaluating 9 of 14 labels: ['Cardiomegaly', 'Consolidation', 'Edema', 'Effusion', 'Emphysema', 'Fibrosis', 'Infiltration', 'Nodule', 'Pneumothorax']
Per-label template pairs from data/prompt_template_search_v3.csv
  Cardiomegaly        'Cardiomegaly'  vs  'no Cardiomegaly'
  Consolidation       'dense opacity'  vs  'no dense opacity'
  Edema               'findings consistent with fluid overload'  vs  'no evidence of fluid overload'
  Effusion            'there is pleural effusion'  vs  'there is no pleural effusion'
  Emphysema           'there is emphysematous changes'  vs  'there is no emphysematous changes'
  Fibrosis            'there is a chest x-ray with pulmonary fibrosis'  vs  'there is no a chest x-ray with pulmonary fibrosis'
  Infiltration        'findings consistent with airspace opacity'  vs  'no evidence of airspace opacity'
  Nodule              'there is pulmonary nodule'  vs  'there is no pulmonary nodule'
  Pneumothorax        'findings consistent with air in the pleural space'  vs  'no evidence of air in the pleural space'
Prompt mapping: 'Consolidation'->'dense opacity', 'Edema'->'findings consistent with fluid overload', 'Effusion'->'there is pleural effusion', 'Emphysema'->'there is emphysematous changes', 'Fibrosis'->'there is a chest x-ray with pulmonary fibrosis', 'Infiltration'->'findings consistent with airspace opacity', 'Nodule'->'there is pulmonary nodule', 'Pneumothorax'->'findings consistent with air in the pleural space'
Ground truth: 13871 images x 9 labels
Ensembling 10 checkpoints from data/checkpoint_ranking_v3.csv
  [1/10] checkpoint.pt  mean AUC 0.6169
  [2/10] checkpoint_32200.pt  mean AUC 0.6366
  [3/10] checkpoint_28200.pt  mean AUC 0.6151
  [4/10] checkpoint_45600.pt  mean AUC 0.6132
  [5/10] checkpoint_43400.pt  mean AUC 0.6236
  [6/10] checkpoint_44400.pt  mean AUC 0.6158
  [7/10] checkpoint_47000.pt  mean AUC 0.6162
  [8/10] checkpoint_33800.pt  mean AUC 0.5898
  [9/10] checkpoint_41800.pt  mean AUC 0.6255
  [10/10] checkpoint_21000.pt  mean AUC 0.6034
Bootstrapping (1000 replicates) ...

Wrote data/bench9_results_v3.csv

        label                                            prompt  n_positive    auc  ci_lower  ci_upper
 Cardiomegaly                                      Cardiomegaly        1069 0.8218    0.8085    0.8362
Consolidation                                     dense opacity        1815 0.6349    0.6205    0.6475
        Edema           findings consistent with fluid overload         925 0.7331    0.7185    0.7489
     Effusion                         there is pleural effusion        4658 0.7379    0.7287    0.7468
    Emphysema                    there is emphysematous changes        1093 0.5251    0.5085    0.5412
     Fibrosis    there is a chest x-ray with pulmonary fibrosis         435 0.4503    0.4178    0.4811
 Infiltration         findings consistent with airspace opacity        6112 0.6073    0.5977    0.6169
       Nodule                         there is pulmonary nodule        1623 0.5583    0.5418    0.5744
 Pneumothorax findings consistent with air in the pleural space        2665 0.4984    0.4862    0.5101

Ensemble mean AUC over 9 pathologies: 0.6186
=== v3 finished Tue Sep 15 04:22:24 PM KST 2026 ===
eval_template_bench9.log:Ensemble mean AUC over 9 pathologies: 0.6468
eval_template_full.log:Ensemble mean AUC over 14 pathologies: 0.7035
